Date,Not indexed,Indexed,Impressions
2025-12-20,,,1
2025-12-21,,,6
2025-12-22,,,6
2025-12-23,90,43,2
2025-12-24,101,42,2
2025-12-25,101,42,4
2025-12-26,101,42,7
2025-12-27,101,42,2
2025-12-28,101,42,4
2025-12-29,101,42,10
2025-12-30,101,42,12
2025-12-31,101,42,11
2026-01-01,101,42,6
2026-01-02,101,42,3
2026-01-03,101,42,12
2026-01-04,101,43,4
2026-01-05,101,43,13
2026-01-06,101,43,6
2026-01-07,100,45,9
2026-01-08,100,45,3
2026-01-09,100,45,11
2026-01-10,100,45,12
2026-01-11,98,45,8
2026-01-12,98,45,19
2026-01-13,98,45,17
2026-01-14,95,45,15
2026-01-15,95,45,13
2026-01-16,95,45,15
2026-01-17,95,45,8
2026-01-18,94,45,7
2026-01-19,94,45,12
2026-01-20,94,45,12
2026-01-21,93,46,15
2026-01-22,93,46,6
2026-01-23,93,46,5
2026-01-24,93,46,7
2026-01-25,94,45,8
2026-01-26,94,45,21
2026-01-27,94,45,9
2026-01-28,97,45,6
2026-01-29,97,45,7
2026-01-30,97,45,21
2026-01-31,97,45,5
2026-02-01,96,45,6
2026-02-02,96,45,4
2026-02-03,96,45,7
2026-02-04,101,40,8
2026-02-05,101,40,13
2026-02-06,101,40,5
2026-02-07,101,40,25
2026-02-08,100,40,7
2026-02-09,100,40,4
2026-02-10,100,40,7
2026-02-11,99,41,12
2026-02-12,99,41,10
2026-02-13,99,41,18
2026-02-14,99,41,2
2026-02-15,100,40,4
2026-02-16,100,40,4
2026-02-17,100,40,4
2026-02-18,100,39,20
2026-02-19,100,39,11
2026-02-20,100,39,3
2026-02-21,100,39,10
2026-02-22,96,44,11
2026-02-23,96,44,3
2026-02-24,96,44,14
2026-02-25,92,43,12
2026-02-26,92,43,7
2026-02-27,92,43,17
2026-02-28,92,43,13
2026-03-01,92,43,18
2026-03-02,92,43,21
2026-03-03,92,43,28
2026-03-04,93,42,31
2026-03-05,93,42,34
2026-03-06,93,42,33
2026-03-07,93,42,54
2026-03-08,93,42,24
2026-03-09,93,42,21
2026-03-10,93,42,25
2026-03-11,97,41,14
2026-03-12,97,41,15
2026-03-13,97,41,11
2026-03-14,97,41,13
2026-03-15,97,41,15
2026-03-16,96,40,11
2026-03-17,96,40,18
